Iter 0, Minibatch Loss= 0.750648, Training Accuracy= 0.39062
Iter 100, Minibatch Loss= 0.692148, Training Accuracy= 0.62500
Iter 200, Minibatch Loss= 0.620105, Training Accuracy= 0.69531
Iter 300, Minibatch Loss= 0.591764, Training Accuracy= 0.73438
Iter 400, Minibatch Loss= 0.636133, Training Accuracy= 0.67188
Iter 500, Minibatch Loss= 0.655282, Training Accuracy= 0.64062
Iter 600, Minibatch Loss= 0.553913, Training Accuracy= 0.76562
Iter 700, Minibatch Loss= 0.616314, Training Accuracy= 0.67969
Iter 800, Minibatch Loss= 0.602913, Training Accuracy= 0.70312
Iter 900, Minibatch Loss= 0.680940, Training Accuracy= 0.62500
Iter 1000, Minibatch Loss= 0.663204, Training Accuracy= 0.64062
Iter 1100, Minibatch Loss= 0.602294, Training Accuracy= 0.71094
Iter 1200, Minibatch Loss= 0.596322, Training Accuracy= 0.71094
Iter 1300, Minibatch Loss= 0.655681, Training Accuracy= 0.64844
Iter 1400, Minibatch Loss= 0.640386, Training Accuracy= 0.67188
Iter 1500, Minibatch Loss= 0.609721, Training Accuracy= 0.70312
Iter 1600, Minibatch Loss= 0.586493, Training Accuracy= 0.73438
Iter 1700, Minibatch Loss= 0.596454, Training Accuracy= 0.71094
Iter 1800, Minibatch Loss= 0.608853, Training Accuracy= 0.70312
Iter 1900, Minibatch Loss= 0.555111, Training Accuracy= 0.76562
Iter 2000, Minibatch Loss= 0.559439, Training Accuracy= 0.76562
Iter 2100, Minibatch Loss= 0.614242, Training Accuracy= 0.70312
Iter 2200, Minibatch Loss= 0.587484, Training Accuracy= 0.73438
Iter 2300, Minibatch Loss= 0.660484, Training Accuracy= 0.64844
Iter 2400, Minibatch Loss= 0.584216, Training Accuracy= 0.73438
Iter 2500, Minibatch Loss= 0.587776, Training Accuracy= 0.73438
Iter 2600, Minibatch Loss= 0.606005, Training Accuracy= 0.70312
Iter 2700, Minibatch Loss= 0.601907, Training Accuracy= 0.71094
Iter 2800, Minibatch Loss= 0.624682, Training Accuracy= 0.68750
Iter 2900, Minibatch Loss= 0.594729, Training Accuracy= 0.71875
Iter 3000, Minibatch Loss= 0.652782, Training Accuracy= 0.64844
Iter 3100, Minibatch Loss= 0.650253, Training Accuracy= 0.65625
Iter 3200, Minibatch Loss= 0.611214, Training Accuracy= 0.69531
Iter 3300, Minibatch Loss= 0.666693, Training Accuracy= 0.63281
Iter 3400, Minibatch Loss= 0.613138, Training Accuracy= 0.70312
Iter 3500, Minibatch Loss= 0.595861, Training Accuracy= 0.71875
Iter 3600, Minibatch Loss= 0.608771, Training Accuracy= 0.69531
Iter 3700, Minibatch Loss= 0.628620, Training Accuracy= 0.68750
Iter 3800, Minibatch Loss= 0.598737, Training Accuracy= 0.71094
Iter 3900, Minibatch Loss= 0.592457, Training Accuracy= 0.71875
Iter 4000, Minibatch Loss= 0.612009, Training Accuracy= 0.69531
Iter 4100, Minibatch Loss= 0.624834, Training Accuracy= 0.67969
Iter 4200, Minibatch Loss= 0.665023, Training Accuracy= 0.64062
Iter 4300, Minibatch Loss= 0.658732, Training Accuracy= 0.64844
Iter 4400, Minibatch Loss= 0.648254, Training Accuracy= 0.65625
Iter 4500, Minibatch Loss= 0.564386, Training Accuracy= 0.75781
Iter 4600, Minibatch Loss= 0.601153, Training Accuracy= 0.71094
Iter 4700, Minibatch Loss= 0.649453, Training Accuracy= 0.65625
Iter 4800, Minibatch Loss= 0.612270, Training Accuracy= 0.70312
Iter 4900, Minibatch Loss= 0.663479, Training Accuracy= 0.64062
Iter 5000, Minibatch Loss= 0.615650, Training Accuracy= 0.69531
Iter 5100, Minibatch Loss= 0.589398, Training Accuracy= 0.71875
Iter 5200, Minibatch Loss= 0.607564, Training Accuracy= 0.70312
Iter 5300, Minibatch Loss= 0.536362, Training Accuracy= 0.78906
Iter 5400, Minibatch Loss= 0.645830, Training Accuracy= 0.65625
Iter 5500, Minibatch Loss= 0.630086, Training Accuracy= 0.67969
Iter 5600, Minibatch Loss= 0.595597, Training Accuracy= 0.71094
Iter 5700, Minibatch Loss= 0.633587, Training Accuracy= 0.67188
Iter 5800, Minibatch Loss= 0.631716, Training Accuracy= 0.67969
Iter 5900, Minibatch Loss= 0.567916, Training Accuracy= 0.75000
Iter 6000, Minibatch Loss= 0.701260, Training Accuracy= 0.60156
Iter 6100, Minibatch Loss= 0.593041, Training Accuracy= 0.72656
Iter 6200, Minibatch Loss= 0.586781, Training Accuracy= 0.72656
Iter 6300, Minibatch Loss= 0.615137, Training Accuracy= 0.69531
Iter 6400, Minibatch Loss= 0.653867, Training Accuracy= 0.65625
Iter 6500, Minibatch Loss= 0.545615, Training Accuracy= 0.77344
Iter 6600, Minibatch Loss= 0.649437, Training Accuracy= 0.65625
Iter 6700, Minibatch Loss= 0.621070, Training Accuracy= 0.68750
Iter 6800, Minibatch Loss= 0.673407, Training Accuracy= 0.62500
Iter 6900, Minibatch Loss= 0.582480, Training Accuracy= 0.73438
Iter 7000, Minibatch Loss= 0.638970, Training Accuracy= 0.66406
Iter 7100, Minibatch Loss= 0.589113, Training Accuracy= 0.72656
Iter 7200, Minibatch Loss= 0.608134, Training Accuracy= 0.70312
Iter 7300, Minibatch Loss= 0.635146, Training Accuracy= 0.67188
Iter 7400, Minibatch Loss= 0.600456, Training Accuracy= 0.71094
Iter 7500, Minibatch Loss= 0.621889, Training Accuracy= 0.69531
Iter 7600, Minibatch Loss= 0.654045, Training Accuracy= 0.64844
Iter 7700, Minibatch Loss= 0.629309, Training Accuracy= 0.67969
Iter 7800, Minibatch Loss= 0.662563, Training Accuracy= 0.63281
Iter 7900, Minibatch Loss= 0.607042, Training Accuracy= 0.71094
Iter 8000, Minibatch Loss= 0.650783, Training Accuracy= 0.65625
Iter 8100, Minibatch Loss= 0.620369, Training Accuracy= 0.68750
Iter 8200, Minibatch Loss= 0.680599, Training Accuracy= 0.62500
Iter 8300, Minibatch Loss= 0.649388, Training Accuracy= 0.64844
Iter 8400, Minibatch Loss= 0.549367, Training Accuracy= 0.77344
Iter 8500, Minibatch Loss= 0.650134, Training Accuracy= 0.65625
Iter 8600, Minibatch Loss= 0.579098, Training Accuracy= 0.73438
Iter 8700, Minibatch Loss= 0.639940, Training Accuracy= 0.67188
Iter 8800, Minibatch Loss= 0.587346, Training Accuracy= 0.72656
Iter 8900, Minibatch Loss= 0.588609, Training Accuracy= 0.72656
Iter 9000, Minibatch Loss= 0.562020, Training Accuracy= 0.75781
Iter 9100, Minibatch Loss= 0.639895, Training Accuracy= 0.66406
Iter 9200, Minibatch Loss= 0.623990, Training Accuracy= 0.67969
Iter 9300, Minibatch Loss= 0.634215, Training Accuracy= 0.67188
Iter 9400, Minibatch Loss= 0.623404, Training Accuracy= 0.68750
Iter 9500, Minibatch Loss= 0.651825, Training Accuracy= 0.65625
Iter 9600, Minibatch Loss= 0.617303, Training Accuracy= 0.69531
Iter 9700, Minibatch Loss= 0.589304, Training Accuracy= 0.72656
Iter 9800, Minibatch Loss= 0.541397, Training Accuracy= 0.78125
Iter 9900, Minibatch Loss= 0.582661, Training Accuracy= 0.73438
Iter 10000, Minibatch Loss= 0.679117, Training Accuracy= 0.61719
Iter 10100, Minibatch Loss= 0.679128, Training Accuracy= 0.61719
Iter 10200, Minibatch Loss= 0.604045, Training Accuracy= 0.70312
Iter 10300, Minibatch Loss= 0.622844, Training Accuracy= 0.68750
Iter 10400, Minibatch Loss= 0.615831, Training Accuracy= 0.68750
Iter 10500, Minibatch Loss= 0.692174, Training Accuracy= 0.60938
Iter 10600, Minibatch Loss= 0.575575, Training Accuracy= 0.74219
Iter 10700, Minibatch Loss= 0.580140, Training Accuracy= 0.74219
Iter 10800, Minibatch Loss= 0.522458, Training Accuracy= 0.80469
Iter 10900, Minibatch Loss= 0.668369, Training Accuracy= 0.63281
Iter 11000, Minibatch Loss= 0.649432, Training Accuracy= 0.65625
Iter 11100, Minibatch Loss= 0.619417, Training Accuracy= 0.69531
Iter 11200, Minibatch Loss= 0.631144, Training Accuracy= 0.67969
Iter 11300, Minibatch Loss= 0.621435, Training Accuracy= 0.68750
Iter 11400, Minibatch Loss= 0.629429, Training Accuracy= 0.67969
Iter 11500, Minibatch Loss= 0.642191, Training Accuracy= 0.66406
Iter 11600, Minibatch Loss= 0.579331, Training Accuracy= 0.73438
Iter 11700, Minibatch Loss= 0.629522, Training Accuracy= 0.67969
Iter 11800, Minibatch Loss= 0.591463, Training Accuracy= 0.72656
Iter 11900, Minibatch Loss= 0.649065, Training Accuracy= 0.65625
Iter 12000, Minibatch Loss= 0.673428, Training Accuracy= 0.63281
Iter 12100, Minibatch Loss= 0.636059, Training Accuracy= 0.67188
Iter 12200, Minibatch Loss= 0.600871, Training Accuracy= 0.71094
Iter 12300, Minibatch Loss= 0.631299, Training Accuracy= 0.67188
Iter 12400, Minibatch Loss= 0.633478, Training Accuracy= 0.67969
Iter 12500, Minibatch Loss= 0.630920, Training Accuracy= 0.67969
Iter 12600, Minibatch Loss= 0.683439, Training Accuracy= 0.61719
Iter 12700, Minibatch Loss= 0.646584, Training Accuracy= 0.65625
Iter 12800, Minibatch Loss= 0.640309, Training Accuracy= 0.66406
Iter 12900, Minibatch Loss= 0.645347, Training Accuracy= 0.66406
Iter 13000, Minibatch Loss= 0.581210, Training Accuracy= 0.73438
Iter 13100, Minibatch Loss= 0.595678, Training Accuracy= 0.71875
Iter 13200, Minibatch Loss= 0.591720, Training Accuracy= 0.71875
Iter 13300, Minibatch Loss= 0.617428, Training Accuracy= 0.69531
Iter 13400, Minibatch Loss= 0.633516, Training Accuracy= 0.67188
Iter 13500, Minibatch Loss= 0.572968, Training Accuracy= 0.74219
Iter 13600, Minibatch Loss= 0.583534, Training Accuracy= 0.73438
Iter 13700, Minibatch Loss= 0.587912, Training Accuracy= 0.72656
Iter 13800, Minibatch Loss= 0.600015, Training Accuracy= 0.71094
Iter 13900, Minibatch Loss= 0.569047, Training Accuracy= 0.75000
Iter 14000, Minibatch Loss= 0.685526, Training Accuracy= 0.60938
Iter 14100, Minibatch Loss= 0.616948, Training Accuracy= 0.69531
Iter 14200, Minibatch Loss= 0.546889, Training Accuracy= 0.77344
Iter 14300, Minibatch Loss= 0.627599, Training Accuracy= 0.67969
Iter 14400, Minibatch Loss= 0.592197, Training Accuracy= 0.71875
Iter 14500, Minibatch Loss= 0.593187, Training Accuracy= 0.71875
Iter 14600, Minibatch Loss= 0.654372, Training Accuracy= 0.64844
Iter 14700, Minibatch Loss= 0.652690, Training Accuracy= 0.64844
Iter 14800, Minibatch Loss= 0.588382, Training Accuracy= 0.72656
Iter 14900, Minibatch Loss= 0.613738, Training Accuracy= 0.69531
Iter 15000, Minibatch Loss= 0.580228, Training Accuracy= 0.73438
Iter 15100, Minibatch Loss= 0.648378, Training Accuracy= 0.65625
Iter 15200, Minibatch Loss= 0.625073, Training Accuracy= 0.67969
Iter 15300, Minibatch Loss= 0.517658, Training Accuracy= 0.80469
Iter 15400, Minibatch Loss= 0.587166, Training Accuracy= 0.73438
Iter 15500, Minibatch Loss= 0.620084, Training Accuracy= 0.68750
Iter 15600, Minibatch Loss= 0.588423, Training Accuracy= 0.72656
Iter 15700, Minibatch Loss= 0.621030, Training Accuracy= 0.69531
