,tweet_id,user_id,time,geo,location,text,hashtags
0,726618827446996992,131263544,2016-04-30 23:46,,uk,Economic Outlook: there’s no pot of gold at the end of Brexit rainbow. voteIN or be poorer in uk . simple  thetimes.co. a4-0ef3-11e6-948d-99a00db757b7 …,#Economic #Brexit #voteIN #uk #simple
1,726592288151998464,9707572,2016-04-30 22:01,,All major cities worldwide,Greenland left the EU in less than three years  dailysquib.co. lse-claims-in-9-million-taxpayer-funded-gov-leaflet-uncovered.html … brexit voteleave euref remain go britainout leaveeu,#brexit #voteleave #euref #remain #go #britainout #leaveeu
2,726569980595167232,2157705814,2016-04-30 20:32,,,Yes forced subsidy from relatively poorer 2 relatively richer.Will sadly continue post Brexit (applies    …,
3,726561828776583168,1222240146,2016-04-30 20:00,,"London, UK",WATCH LIVE - Brexit : Au revoir Europe? Tune in to AJH2H on  ,#AJH2H
4,726541253798678529,243393079,2016-04-30 18:38,,"Michael St George, Southern UK",Bosnia: Muslim radicals in mountain villages  More reason to VoteLeave & Brexit before empire-building EU admits it,#VoteLeave #Brexit
5,726532435194863618,121855199,2016-04-30 18:03,,Great Britain,BREXIT is essential or voteremain secures TTIP and backdoor privatisation of nhs : nhsmillion juniorcontract   …,#BREXIT #voteremain #TTIP #nhs #nhsmillion #juniorcontract
6,726531199527735297,26265177,2016-04-30 17:58,,Cardiff, wow. Turkeys do vote for Christmas. Brexit,#Brexit
7,726521692403712000,51792408,2016-04-30 17:20,,North West UK ,HOW MANY PEOPLE WISH WE HAD  RUNNING THE WORLD? Brexit VoteLeave,#Brexit #VoteLeave
8,726512064425021440,14974486,2016-04-30 16:42,,"London, UK",Changes to the UK's EU membership Cameron got agreed should we stay in & other interesting Q's on brexit answered:  bbc.co. cs-32810887 …,#brexit
9,726506947852288000,704847650663723008,2016-04-30 16:22,,,Kate Hoey MP Highlights From The Spectator BREXIT Debate  via ,
10,726499343839023105,1345580348,2016-04-30 15:51,,"Silicon Valley, New York City ",The Brexit analysis appears to be theoretically consistent with a world that does not exist in reality.  …,
11,726492640930369536,3300927532,2016-04-30 15:25,,United Kingdom,thebitcoindata: Brexit Rumors Fail to Boost Market as Bitcoin Price Steady at $420 - CoinDesk  BitcoinNews,#BitcoinNews
12,726486668782477313,23354545,2016-04-30 15:01,,My comfy chair ,"Late lunch. Ordered chicken frittata. Smoked salmon frittata served ! Waiter blamed the Polish chef. Free though, so result brexit",#brexit
13,726481675161604097,2299596967,2016-04-30 14:41,"Saint-Paul-du-Vernay, France",Yorkshire Republic,"    According to Leave Economic expert, that's all we'll have to sell post Brexit",#Leave #Brexit
14,726473406795882498,2977900810,2016-04-30 14:08,,Athens l London l Berlin l NYC,"Curious: is the world ready for the possibility of both Trump becoming elected US President and Brexit happening, in just under a year?",
15,726472629285089280,413597188,2016-04-30 14:05,,soon to be Tulsa,"Boris Johnson’s comments on ' Brexit ', Obama, Churchill bust  I am with the Scots who desire complete sovereignty.",
16,726463397844279297,1128071294,2016-04-30 13:29,,"London, England",Remaining in the EU is vital to maintaining the UK's global strength in cancer research & care! EUref Brexit  medicalnewstoday. 3.php …,#EUref #Brexit
17,726457544571392000,712205317,2016-04-30 13:05,,,BREXIT How Labor & especially the Greens see our future the UN has been watching all the EU tricks to seize power ,
