,tweet_id,user_id,time,geo,location,text,hashtags
0,771190379899072512,2466580130,2016-08-31 23:38,,,"Britain will be one of the world’s GREATEST trading nations post Brexit , Theresa May says ",
1,771180928148189184,1369120952,2016-08-31 23:00,,,"View, Share & Sign Brexit EUref BrexitBritain  Voting in2 Void 2  pic.twitter.",#Brexit #EUref #BrexitBritain
2,771174780988895233,184742394,2016-08-31 22:36,,Luton Weather Cam,"UKNews The Guardian UK should 'get act together' to decide on Brexit terms, says…  via hng pic.twitter.",#UKNews #hng
3,771169725975932929,789025232,2016-08-31 22:16,"Melbourne, Victoria",, 2 smart leaders Today Teresa May also said NO more EU migration after Brexit split 2 great leaders of our time GOLD,
4,771163343662886912,1007158076,2016-08-31 21:50,,Can'tada," Though I guarantee you that Brexit helped catalyze this, which is amazing to think about.",
5,771161455445938176,3234124074,2016-08-31 21:43,,United States,Debate Over The Impact Of Brexit On Startups  forbes.  …,#Brexit #Startups
6,771152432080576513,721046621467906048,2016-08-31 21:07,,RT TRUTH ABOUT EU DICTATORSHIP,Its a very fine line between sanity & insanity & who is to decide which side you belong... BREXIT   …,#BREXIT
7,771149056240254976,14550221,2016-08-31 20:53,,The Internets, what if *you're* secretly the person behind Brexit,
8,771146290264612865,612473,2016-08-31 20:42,,London,"  With all these ill informed voters who regret their vote, can Brexit still be considered legitimate?",#Brexit
9,771141780934983680,379851447,2016-08-31 20:25,,London UK,We want OUT! EU referendum OUT european union brexit FB page:  pic.twitter.,#EU #referendum #OUT #european #union
10,771137672689639424,335183086,2016-08-31 20:08,,Confluence of Tigris/Euphrates,Brexit the gift that just keeps on taking.   …,#Brexit
11,771134138829115394,2292748574,2016-08-31 19:54,,,  We designated the EU a foreign country with Brexit . At what point does agitating on its behalf become treason?,#Brexit
12,771133109211435008,182473471,2016-08-31 19:50,,,"Restricting immigration will be at heart of Brexit deal, Theresa May says ",
13,771131237675044865,1181472344,2016-08-31 19:43,,Singapore,UK cosmetics group  relocates staff to Germany post- Brexit  pic.twitter.,#UK #Germany
14,771127185998422016,1534804092,2016-08-31 19:27,,,Racists exploiting Brexit 'come from sewers' says Tory minister after killing of Polish man:  Scotland UKOK,#Scotland #UKOK
15,771125782353707011,128334973,2016-08-31 19:21,,"Abuja, Nigeria",NigeriaNewsdesk: May gathers ministers for Brexit talks  via todayng pic.twitter.,
