,tweet_id,user_id,time,geo,location,text,hashtags
0,715733011048873984,36906594,2016-03-31 22:50,,Mauritius Broker Gibraltar IB,investorseurope offshore stockbrokers VIDEO: Hitachi boss: 'I oppose Brexit ' ,
1,715702496824541186,340292277,2016-03-31 20:49,,,    Britain as a country is over unless people wake up and VoteLeave Brexit LeaveEU,#VoteLeave #Brexit #LeaveEU
2,715693001679495168,470298741,2016-03-31 20:11,,,       No we're going to kick them all out after Brexit,#Brexit
3,715682632298864640,386542585,2016-03-31 19:30,,"Yorkshire, UK", _News sensible.esp if you know the non-MSM version of events that happened 2 yrs ago! they're still in debt& refuse to make payments,
4,715679705379241984,151805658,2016-03-31 19:18,,,France 'to force language tests' on expats post Brexit : If Britain votes to leave the EU… ,
5,715675090839416832,57341699,2016-03-31 19:00,,"Manchester, UK",Manchester United 'would not be able to sign Anthony Martial' if Britain wasn't in Europe: Brexit could put ... ,
6,715668092668366848,523085134,2016-03-31 18:32,,, UK Govt is EU staight jacketed & helpless but willing to put up with any adverse effect on UK for sake of being in EU BREXIT,#UK
7,715661311158390784,371932423,2016-03-31 18:05,,,"To Brexit or not to Brexit , that's the question. Kind regards from Holland.   …",#Brexit #Brexit
8,715652424728489985,20030073,2016-03-31 17:30,,UK,The  whoring themselves to the EU shows in the quality & reporting bias when compared to  &  . VoteLeave Brexit EUref,#VoteLeave #Brexit #EUref
9,715650924862156800,243393079,2016-03-31 17:24,,"Michael St George, Southern UK","When D Miliband says Brexit → ""disaster""  , he means for unelected, unaccountable, globalist-NGO Fabians like him",#Brexit
10,715646686316662784,56494713,2016-03-31 17:07,,Wallasey,"if anything is going to prevent Brexit , it'll be the Premier League and the impact on signings it would have",
11,715643076103024640,128280106,2016-03-31 16:53,,"Dover, Kent",EU referendum: Brexit could have 'big effect' on football  bbc.co. …,
12,715634344317071361,285254192,2016-03-31 16:18,,UK,"Brexit : Time to make your plans, UK IT biz • The Channel  channelregister.co. xit_legal_armageddon… via  - it's complicated..",
13,715630376471937024,636837451,2016-03-31 16:02,,in the sunshine,Coming soon..merkel will make dishface take them..vote brexit   …,
14,715625326768996352,3341378015,2016-03-31 15:42,,"West Midlands, England","Google's "" brexit ""..",
15,715620709465243648,462238790,2016-03-31 15:24,,"London, England",Brexit may have detrimental effects  Euro Import Export Conservatives Cameron pic.twitter.,#Euro #Import #Export #Conservatives #Cameron
16,715614280540954624,3011256515,2016-03-31 14:58,,UK,"WHY is Clegg's wife talking like she did today, all pro-EU & liar-like? Maybe fancies some of this... Brexit pic.twitter.",#Brexit
17,715611008975376384,15717071,2016-03-31 14:45,,#partsunknown,Bill Clinton On Brexit : N. Ireland Will ‘Get Whacked’ If Britain Leaves The EU   …,
18,715605882697039877,21557354,2016-03-31 14:25,"South West, England",,"British current account deficit balloons, Osborne warns against EU ' Brexit ' Why? Surely Brexit can only reduce our deficit.",
19,715598331716767746,283334613,2016-03-31 13:55,,"London, England",most reasonable argument heard from stay ppl! ‘We are happy to give up our sovereignty for cheap travel’  eu Brexit,#eu #Brexit
20,715595451047800836,21557354,2016-03-31 13:43,"South West, England",,Brexit and euro zone worries weigh on UK consumers says German GfK. From our record imports we are still buying shed loads of Kraut cars.,
21,715592177133477888,2565041257,2016-03-31 13:30,,"England, United Kingdom"," agreed,although I don't think Brexit would change a lot,as can't see any Govt denying top high earners coming here.",
22,715585063723876353,2383742887,2016-03-31 13:02,,"Washington, DC"," Blog | A look at Brexit , part 2: if it happened EU Eurozone Euro pic.twitter.",#Brexit #EU #Eurozone #Euro
23,715584827509092352,108882900,2016-03-31 13:01,,Brussels & East Midlands,.  As it was the UK who blocked tariffs how would Brexit have helped?,
24,715576856364187648,4838520568,2016-03-31 12:29,,"Arcachon, France",Brexit will cause widespread operational headaches Regulation The operational headache of a potential Brexi  Brexit,#Brexit
25,715571143814553601,322093069,2016-03-31 12:07,,Maynooth University,So Geoffrey Roberts  says we should 'reward' Brexit by rejoining Commonwealth  . No UK obligations to Ireland??,
26,715566637953523713,5988062,2016-03-31 11:49,,London, You might also consider: UK outside EU would initially cease to be party to current  party deals Brexit Remain,#EU #Brexit #Remain
27,715564129612771329,1537418791,2016-03-31 11:39,,UK,"Belfast: Bill Clinton warns Northern Ireland will get ""whacked"" if voters back Brexit  belfast",#belfast
28,715559307522088961,34262462,2016-03-31 11:20,,,Should I stay or should I go now? clash of the Brexit campaigners  pic.twitter.,#Brexit
29,715553613968457728,3235220435,2016-03-31 10:57,"Saint-Paul-du-Vernay, France",United Kingdom,     Yet there is no expert that Brexit will believe. No advice they trust. Putin?,
30,715547387360632832,7587032,2016-03-31 10:32,,"London, UK",Rival Brexit groups apply to be recognised as official Leave campaign ahead of EU referendum  pic.twitter.,
31,715545275641819136,240192814,2016-03-31 10:24,,Lincolnshire,I will leave you to do the maths.......... brexit leaveeu betteroffout business4go labour4go greens4go pic.twitter.,#brexit #leaveeu #betteroffout #business4go #labour4go #greens4go
32,715539652665597952,710053581399969792,2016-03-31 10:02,,"Warrington, England",` Brexit ' Gamble Puts U.K. Services Firms in the Crosshairs  via  EUReferendum StrongerIn,#Brexit #EUReferendum #StrongerIn
33,715535784225423361,414089789,2016-03-31 09:46,,,"On how Brexit may harm English football or not, a few points: The new FA work permit rules apply to non EEA players, not non EU.",
34,715530848901197824,3131104144,2016-03-31 09:27,,"Aberdeen, Scotland",Find out if a Brexit or Remain is best for businesses  ,#Brexit #Remain
35,715528769302306817,153826040,2016-03-31 09:18,,"London, UK",What Brexit would mean for the biggest part of the U.K. economy ,#Brexit
36,715525438219620352,84157012,2016-03-31 09:05,,,Should the UK remain an EU member or leave? What it means if British voters affirm the Brexit referendum: ,#Brexit
