,tweet_id,user_id,time,geo,location,text,hashtags
0,737854681909764096,12912542,2016-05-31 23:53,,ENGLAND ,Navy SEAL Massive Collapse Inevitable ALSO APPLIES TO EUROPE YOUR BEING MANIPULATED  Why you need VoteLeave Brexit,#Brexit
1,737851152931389440,191025836,2016-05-31 23:39,,Southern England,Brexit camp eye Australian-style immigration system if UK leaves EU - Daily Mail ,
2,737845577753481216,2346506728,2016-05-31 23:17,,,So Brexit vote seems to be a risk highly priced in FX but no risk at all for equity markets! Congrats!,#Brexit
3,737842440657350656,708358962983407616,2016-05-31 23:05,,United States,"Brexit could cost UK more than £4bn a YEAR as European, US and Canadian tourists are ... - … pic.twitter.",
4,737837707301400576,915537378,2016-05-31 22:46,"Brooklyn, NY","London, England, by way of NYC",Overseas postal voting form for the Brexit referendum ahoy! pic.twitter.,#Brexit
5,737832713370099712,408041125,2016-05-31 22:26,,,Brexit camp eye Australian-style immigration system if UK leaves EU ,
6,737827630192447492,386542585,2016-05-31 22:06,,"Yorkshire, UK",Serving border force officer tells Sky small boats are increasingly being used to bring migrants across the Channel.  mysterious-boats-raise-people-smuggling-fears …,
7,737823535830306816,727567573013962755,2016-05-31 21:50,,Pale Blue Dot,I'm not criticising anybody for their vote in EUref whether Remain or Brexit . Nobody knows if it's a good idea or not.,#EUref #Remain #Brexit
8,737818523519438849,104073108,2016-05-31 21:30,,,New Polls Show Brexit in Lead For 1st Time: Did Cameron's Brexit Fearmongering and Lies Backfire?  -polls-show-brexit-in-lead-for-1st-time-did-camerons-brexit-fearmongering-and-lies-backfire… via ,
9,737813342753034241,3192197441,2016-05-31 21:09,,"Manchester, UK",Negative Interest Rates—Ammunition for a Losing Battle ECB is distorting mkt — there WILL be a correction! Brexit  cnsnews. - …,#Brexit
10,737812106146287617,215112498,2016-05-31 21:04,,,"Majority of voters are backing Brexit , according to latest EU referendum poll  erendum-poll-latest-shows-big-surge-in-support-for-brexit…",
11,737809285493751808,14799078,2016-05-31 20:53,,Sweden,The wise Stephen Hawking: Trump's popularity inexplicable and Brexit spells disaster ,
12,737806665450278912,55660786,2016-05-31 20:43,,,Vote Leave migration plan and toddler's killing: A Brexit campaign plan to limit immigration with a points-ba... ,
13,737803469680173056,112253363,2016-05-31 20:30,,Lancashire / New York," will be on a live debate on the  Show, arguing in favour of Brexit , on June 7th.  compoundmedia.com",
14,737802940572897280,630636354,2016-05-31 20:28,,, How anybody could contemplate selling sovereignty for a Euro when so many have given lives to protect it is beyond me! Brexit,#Brexit
15,737800880951414784,361832401,2016-05-31 20:20,,Made in Nigeria ,"Brexit could cost UK more than £4bn a YEAR as European, US and Canadian tourists are out off ",
16,737797388123967488,24842995,2016-05-31 20:06,,"London, England",Brexit debate shouldn't be a stick to beat Tory government with  are_iOSApp_Other …,
272,737795277336289280,179733439,2016-05-31 19:57,,Nagoya JAPAN,"Bosses warn of Brexit impact, CBI survey shows outlook slipping ",
273,737792373627998208,1263002017,2016-05-31 19:46,,True Humanity ⚖,Turkey Erdogan rejects muslim family planning – encourages 'more' children.  kish-leader-erdogan-rejects-family-planning-for-muslims-encourages-more-children… UK BRexit pic.twitter.,#Turkey #Erdogan #UK #BRexit
274,737789681539153920,181039052,2016-05-31 19:35,,"Peabody, MA","Bosses warn of Brexit impact, CBI survey shows outlook slipping  reuters. N0YM2SU …",
275,737788966200614912,701866563268378626,2016-05-31 19:32,,United Kingdom,"UK voters leaning towards Brexit , Guardian poll reveals  DavidCameron BBC SKY ITV EU UK Euref VoteLeave",#UK #voters #Brexit #Guardian #poll #DavidCameron #BBC #SKY #ITV #EU #UK #Euref #VoteLeave
276,737787616888643584,1491880526,2016-05-31 19:27,,Worldwide,[Reuters] Brexit camp eye Australian-style immigration system if UK leaves EU ,
277,737784835964604416,712334684185890816,2016-05-31 19:16,,"London, England",The effects of Brexit on small businesses: A post by   xit-small-business…  What's your stance?,
278,737783384785575936,283301194,2016-05-31 19:10,,Western North America,Would leaving EU save British households £1.7bn a year on energy biils?  brexit uk snp,#brexit #uk #snp
279,737782111738974209,379851447,2016-05-31 19:05,,London UK,Trade wars: memo shows EU is costing UK billions  EU brexit referendum voteleave,#EU #brexit #referendum #voteleave
280,737780164814352384,3367957301,2016-05-31 18:57,,United Kingdom,We are urging the 59000 fellow Malaysians who live in UK to support Brexit as Commonwealth citizens & VoteLeave  s_in_the_United_Kingdom …,#Malaysians #Brexit #VoteLeave
281,737778722745393152,2164339015,2016-05-31 18:52,,Surrey - Singapore,EURef Brexit At long last we are starting to stand up for ourselves again.  …,#EURef #Brexit
282,737777358208438272,71280219,2016-05-31 18:46,,London,EU leaders' “utopian” illusions are tearing Europe apart  telegraph.co.  … Brexit EUref,#Brexit #EUref
283,737775770798596097,379851447,2016-05-31 18:40,,London UK,Brexit myths debunked: Why leaving could be good for GDP  via  EU brexit economy myths leave,#EU #brexit #economy #myths #leave
284,737773558609383425,1119758522,2016-05-31 18:31,,UK, Britains trade deficit with the EU is £60 billion a year. VOTE LEAVE BREXIT,#BREXIT
285,737772153307815936,905100416,2016-05-31 18:26,,"Lagos,nigeria",EU referendum: Boris and Gove pledge tough new immigration system after Brexit ,
286,737770795850694656,3189001238,2016-05-31 18:20,,"London, England", countries outside of EU more successful we don't need political union for science or cooperation Brexit for Democracy,#Brexit
287,737768937207832577,150185780,2016-05-31 18:13,"Cheadle, England",Cheadle,"I'm voting Brexit in the faint hope that it'll turn the UK into a mysterious, alluring, foreign land to  missus & he stays. MUFC",#Brexit #MUFC
288,737768087173353472,731470346482790400,2016-05-31 18:09,,,"Classic! Typical Brexit faux pas. Which Tory MP is in the mask? And no orange, strange? StrongerIn   …",#StrongerIn
289,737766555900096513,379851447,2016-05-31 18:03,,London UK,It's your choice. EU brexit referendum voteleave brexit FB page:  pic.twitter.,#EU #brexit #referendum #voteleave
290,737765624064016384,1120061436,2016-05-31 18:00,,,Chris Grayling: Brexit would help young people get on housing ladder - The Guardian ,
291,737765037352325120,336637208,2016-05-31 17:57,,"Lincoln, England",We'll be mobilising the support just in case Brexit happens so we can block and protest every amendment! EUref   …,#Brexit #EUref
292,737763587956088832,3235627787,2016-05-31 17:52,,UK,Alan Sugar tells Brexit voters not to be daft via  Playing with the fragile minds Trust yourself,
293,737763147923197952,33851953,2016-05-31 17:50,,London,Now ANOTHER poll shows a huge surge in support for Brexit  via ,
294,737761721599840256,873333540,2016-05-31 17:44,,High Wycombe,newsnight Could Emma Reynolds name the men who run the UK. She can't you can't vote Brexit pic.twitter.,#newsnight #Brexit
295,737760294366220288,19017675,2016-05-31 17:38,,,Pleased that Boris Johnson & Michael Gove now support same policy I've advocated for years Brexit pic.twitter.,#Brexit
296,737759506193616897,7587032,2016-05-31 17:35,,"London, UK", should of done that years ago Brexit,#Brexit
297,737759182171033600,23484819,2016-05-31 17:34,,East London,Tfw you love Brexit more than your own baby.  737758037277036545 …,
298,737758000132263937,90182089,2016-05-31 17:29,,,No-one has the right not to be offended...including Muslims. Free speech needs to be free. Brexit   …,#Brexit
299,737756801278578688,310746442,2016-05-31 17:25,,,I suspect Brexit will be like a Christmas office affair. Thrilling for a moment. Bitterly regretted three days later   …,
300,737755349239877632,22923305,2016-05-31 17:19,,Göteborg,"Yes, pleeeease make sure that brexit becomes a reality. The only way to save sweden - and europe - I'm afraid.  theguardian.  …",#brexit #sweden #europe
301,737754857399066624,10715902,2016-05-31 17:17,,"Brighton, England",Listen! Radio Free UK - Why Europe Owes The Migrants Nothing : Stefan Molyneux  radiofreeuk. 26… BRExit,#BRExit
302,737754185681244160,235587626,2016-05-31 17:14,,London,"If spain, france or netherlands choose to leave the EU, does it become FREXIT, SPEXIT and NEXIT.? brexit spexit whatever. .",#brexit #spexit
303,737753107753472005,63493080,2016-05-31 17:10,,Worcestershire,Brexit is a cause campaign not a manifesto. Neither side can promise anything. bbcnews,#Brexit #bbcnews
304,737752281756667904,186947829,2016-05-31 17:07,,the sticks Leics.,"When you wake up on the 24th and we've voted for Brexit George, don't worry about recession. Just start packing. forricherforpoorer",#Brexit #forricherforpoorer
305,737751100955099136,240491390,2016-05-31 17:02,,WorldWide,"Forex -Dollar gains vs pound, euro as Brexit fears rise: NEW YORK, May 31 (Reuters) - The U.S. dollar hit an ... ",#Forex
306,737750536280231936,1488956132,2016-05-31 17:00,,"Midlands, England",Brexit programme with  sparked idea that remain involves dealing with known unknowns; leave adds unknown unknowns to equation!,#Brexit #remain #leave
307,737749266106458112,6134882,2016-05-31 16:55,,"Bonn, Germany",UK opinion polls indicate shift towards a vote for Brexit in June referendum  pic.twitter.,#Brexit
308,737748342919303168,4130318050,2016-05-31 16:51,,Yorkshire," For Richer, for poorer, failed to say IMF's Christine Lagarde as been charged with embezzlement brexit ",#brexit
309,737747858208792580,3092364868,2016-05-31 16:49,,,then we need to send a message by turning them around back on to the french coastline  Brexit   …,#Brexit
